ID,Milestone,Category,Layer,Task,Description,Priority,Status,Depends On,Notes
F-001,Foundation,Platform,—,Project scaffold,Next.js 15 + TypeScript + Prisma + PostgreSQL + Docker Compose,P0,Done,,
F-002,Foundation,Platform,—,Git repository,Initialize repo connect remote CI-ready structure,P0,Done,,
F-003,Foundation,Platform,—,Environment configuration,.env.example DATABASE_URL LLM_PROVIDER OPENAI/ANTHROPIC/GOOGLE keys AUTH_SECRET SUPER_ADMIN,P0,Done,,
F-004,Foundation,Platform,—,Core data model,Candidate JobApplication Job TalentProfile Interview Decision Note per-campaign pipeline,P0,Done,,
F-005,Foundation,Documentation,—,README and architecture docs,Developer onboarding STRUCTURE.md AUTH-ACL.md layer mapping,P1,Done,,
F-006,Foundation,Documentation,—,Product and system design guide,HTML doc with Mermaid diagrams in docs/,P1,Done,,
F-007,Foundation,UI,—,HR-themed design system,Navy sidebar teal primary pipeline badges trust banners,P1,Done,,
F-008,Foundation,UI,—,App shell and navigation,Dashboard Candidates Open roles sidebar active states,P0,Done,,
F-009,Foundation,Platform,—,Layered application architecture,Thin API routes services validators feature components,P1,Done,,
MVP-001,MVP,Talent Intelligence,Talent,Resume text ingestion,Paste or upload resume on intake; creates person + first JobApplication with talent analysis,P0,Done,MVP-015,
MVP-002,MVP,Talent Intelligence,Talent,Talent intelligence engine,Skill extraction fit score strengths gaps hidden signals with evidence,P0,Done,MVP-001,
MVP-003,MVP,Talent Intelligence,Talent,Role-aware fit scoring,Match candidate skills against job requirements when role assigned,P0,Done,MVP-002,
MVP-004,MVP,Talent Intelligence,Talent,Heuristic fallback analysis,Works without OpenAI API key for local dev,P1,Done,MVP-002,
MVP-005,MVP,Talent Intelligence,Talent,OpenAI-powered analysis,Legacy OpenAI path; superseded by multi-provider layer (MVP-040),P1,Done,MVP-002,See MVP-040
MVP-006,MVP,Talent Intelligence,Talent,Re-run talent analysis,Refresh talent and decision per JobApplication from campaign profile,P2,Done,MVP-015b,/api/applications/[id]/talent
MVP-007,MVP,Interview Intelligence,Interview,Transcript ingestion,Paste transcript on campaign profile; triggers analysis and stage INTERVIEWED,P0,Done,MVP-015b,
MVP-008,MVP,Interview Intelligence,Interview,Post-interview signal analysis,Hesitation confidence clarity consistency engagement scores,P0,Done,MVP-007,
MVP-009,MVP,Interview Intelligence,Interview,Cognitive and behavioral signals,Structured signals with evidence and confidence levels,P0,Done,MVP-008,
MVP-010,MVP,Interview Intelligence,Interview,Interview risk flags,Advisory follow-up flags not deception claims,P1,Done,MVP-008,
MVP-011,MVP,Decision Intelligence,Decision,Decision engine synthesis,Per-application hire confidence from talent + interview signals,P0,Done,MVP-002|MVP-015b,
MVP-012,MVP,Decision Intelligence,Decision,Explainable recommendations,Human-readable explanation and signal breakdown,P0,Done,MVP-011,
